代號,簡稱,市場別,產業別,更新日
1586,和勤,上櫃,電機機械,2026-06-19 06:24
1587,吉茂,上市,汽車工業,2026-06-19 06:24
1589,永冠-KY,上市,電機機械,2026-06-19 06:24
1590,亞德客-KY,上市,電機機械,2026-06-19 06:24
1591,駿吉-KY,上櫃,電機機械,2026-06-19 06:24
1593,祺驊,上櫃,運動休閒,2026-06-19 06:24
1594,日高,興櫃,電機機械,2026-06-19 06:24
1595,川寶,上櫃,半導體業,2026-06-19 06:24
1597,直得,上市,電機機械,2026-06-19 06:24
1598,岱宇,上市,運動休閒,2026-06-19 06:24
1599,宏佳騰,上櫃,電機機械,2026-06-19 06:24
1603,華電,上市,電器電纜,2026-06-19 06:24
1604,聲寶,上市,電器電纜,2026-06-19 06:24
1605,華新,上市,電器電纜,2026-06-19 06:24
1608,華榮,上市,電器電纜,2026-06-19 06:24
1609,大亞,上市,電器電纜,2026-06-19 06:24
1611,中電,上市,電器電纜,2026-06-19 06:24
1612,宏泰,上市,電器電纜,2026-06-19 06:24
1614,三洋電,上市,電器電纜,2026-06-19 06:24
1615,大山,上市,電器電纜,2026-06-19 06:24
1616,億泰,上市,電器電纜,2026-06-19 06:24
1617,榮星,上市,電器電纜,2026-06-19 06:24
1618,合機,上市,電器電纜,2026-06-19 06:24
1623,大東電,上市,電器電纜,2026-06-19 06:24
1626,艾美特-KY,上市,電器電纜,2026-06-19 06:24
1702,南僑,上市,食品工業,2026-06-19 06:24
1707,葡萄王,上市,生技醫療業,2026-06-19 06:24
1708,東鹼,上市,化學工業,2026-06-19 06:24
1709,和益,上市,化學工業,2026-06-19 06:24
1710,東聯,上市,化學工業,2026-06-19 06:24
1711,永光,上市,化學工業,2026-06-19 06:24
1712,興農,上市,化學工業,2026-06-19 06:24
1713,國化,上市,化學工業,2026-06-19 06:24
1714,和桐,上市,化學工業,2026-06-19 06:24
1717,長興,上市,化學工業,2026-06-19 06:24
1718,中纖,上市,化學工業,2026-06-19 06:24
1720,生達,上市,生技醫療業,2026-06-19 06:24
1721,三晃,上市,化學工業,2026-06-19 06:24
1722,台肥,上市,化學工業,2026-06-19 06:24
1723,中碳,上市,化學工業,2026-06-19 06:24
1725,元禎,上市,化學工業,2026-06-19 06:24
1726,永記,上市,化學工業,2026-06-19 06:24
1727,中華化,上市,化學工業,2026-06-19 06:24
1730,花仙子,上市,化學工業,2026-06-19 06:24
1731,美吾華,上市,生技醫療業,2026-06-19 06:24
1732,毛寶,上市,化學工業,2026-06-19 06:24
1733,五鼎,上市,生技醫療業,2026-06-19 06:24
1734,杏輝,上市,生技醫療業,2026-06-19 06:24
1735,日勝化,上市,化學工業,2026-06-19 06:24
1736,喬山,上市,運動休閒,2026-06-19 06:24
1737,臺鹽,上市,食品工業,2026-06-19 06:24
1742,台蠟,上櫃,化學工業,2026-06-19 06:24
1752,南光,上市,生技醫療業,2026-06-19 06:24
1760,寶齡富錦,上市,生技醫療業,2026-06-19 06:24
1762,中化生,上市,生技醫療業,2026-06-19 06:24
1773,勝一,上市,化學工業,2026-06-19 06:24
1776,展宇,上市,化學工業,2026-06-19 06:24
1777,生泰,上櫃,生技醫療業,2026-06-19 06:24
1780,立弘,上櫃,食品工業,2026-06-19 06:24
1781,合世,上櫃,生技醫療業,2026-06-19 06:24
1783,和康生,上市,生技醫療業,2026-06-19 06:24
1784,訊聯,上櫃,生技醫療業,2026-06-19 06:24
1785,光洋科,上櫃,其他電子業,2026-06-19 06:24
1786,科妍,上市,生技醫療業,2026-06-19 06:24
1788,杏昌,上櫃,生技醫療業,2026-06-19 06:24
1789,神隆,上市,生技醫療業,2026-06-19 06:24
1795,美時,上市,生技醫療業,2026-06-19 06:24
1796,金穎生技,上櫃,食品工業,2026-06-19 06:24
1799,易威,上櫃,生技醫療業,2026-06-19 06:24
1802,台玻,上市,玻璃陶瓷,2026-06-19 06:24
1805,寶徠,上市,建材營造業,2026-06-19 06:24
1806,冠軍,上市,玻璃陶瓷,2026-06-19 06:24
1808,潤隆,上市,建材營造業,2026-06-19 06:24
1809,中釉,上市,玻璃陶瓷,2026-06-19 06:24
1810,和成,上市,玻璃陶瓷,2026-06-19 06:24
1813,寶利徠,上櫃,生技醫療業,2026-06-19 06:24
1815,富喬,上櫃,電子零組件業,2026-06-19 06:24
1817,凱撒衛,上市,玻璃陶瓷,2026-06-19 06:24
1903,士紙,上市,造紙工業,2026-06-19 06:24
1904,正隆,上市,造紙工業,2026-06-19 06:24
1905,華紙,上市,造紙工業,2026-06-19 06:24
1906,寶隆,上市,造紙工業,2026-06-19 06:24
1907,永豐餘,上市,造紙工業,2026-06-19 06:24
1909,榮成,上市,造紙工業,2026-06-19 06:24
2002,中鋼,上市,鋼鐵工業,2026-06-19 06:24
2006,東和鋼鐵,上市,鋼鐵工業,2026-06-19 06:24
2007,燁興,上市,鋼鐵工業,2026-06-19 06:24
2008,高興昌,上市,鋼鐵工業,2026-06-19 06:24
2009,第一銅,上市,鋼鐵工業,2026-06-19 06:24
2010,春源,上市,鋼鐵工業,2026-06-19 06:24
2012,春雨,上市,鋼鐵工業,2026-06-19 06:24
2013,中鋼構,上市,鋼鐵工業,2026-06-19 06:24
2014,中鴻,上市,鋼鐵工業,2026-06-19 06:24
2015,豐興,上市,鋼鐵工業,2026-06-19 06:24
2017,官田鋼,上市,鋼鐵工業,2026-06-19 06:24
2020,美亞,上市,鋼鐵工業,2026-06-19 06:24
2022,聚亨,上市,鋼鐵工業,2026-06-19 06:24
2023,燁輝,上市,鋼鐵工業,2026-06-19 06:24
2024,志聯,上市,鋼鐵工業,2026-06-19 06:24
2025,千興,上市,鋼鐵工業,2026-06-19 06:24
2027,大成鋼,上市,鋼鐵工業,2026-06-19 06:24
2028,威致,上市,鋼鐵工業,2026-06-19 06:24
2029,盛餘,上市,鋼鐵工業,2026-06-19 06:24
2030,彰源,上市,鋼鐵工業,2026-06-19 06:24
2031,新光鋼,上市,鋼鐵工業,2026-06-19 06:24
2032,新鋼,上市,鋼鐵工業,2026-06-19 06:24
2033,佳大,上市,鋼鐵工業,2026-06-19 06:24
2034,允強,上市,鋼鐵工業,2026-06-19 06:24
2035,唐榮,上櫃,鋼鐵工業,2026-06-19 06:24
2038,海光,上市,鋼鐵工業,2026-06-19 06:24
2049,上銀,上市,電機機械,2026-06-19 06:24
2059,川湖,上市,電子零組件業,2026-06-19 06:24
2061,風青,上櫃,電器電纜,2026-06-19 06:24
2062,橋椿,上市,居家生活,2026-06-19 06:24
2063,世鎧,上櫃,鋼鐵工業,2026-06-19 06:24
2064,晉椿,上櫃,鋼鐵工業,2026-06-19 06:24
2065,世豐,上櫃,鋼鐵工業,2026-06-19 06:24
2066,世德,上櫃,電機機械,2026-06-19 06:24
2067,嘉鋼,上櫃,電機機械,2026-06-19 06:24
2069,運錩,上市,鋼鐵工業,2026-06-19 06:24
2070,精湛,上櫃,電機機械,2026-06-19 06:24
2071,震南鐵,興櫃,鋼鐵工業,2026-06-19 06:24
2072,世紀風電,上市,綠能環保,2026-06-19 06:24
2073,雄順,上櫃,鋼鐵工業,2026-06-19 06:24
2101,南港,上市,橡膠工業,2026-06-19 06:24
2102,泰豐,上市,橡膠工業,2026-06-19 06:24
2103,台橡,上市,橡膠工業,2026-06-19 06:24
2104,國際中橡,上市,橡膠工業,2026-06-19 06:24
2105,正新,上市,橡膠工業,2026-06-19 06:24
2106,建大,上市,橡膠工業,2026-06-19 06:24
2107,厚生,上市,橡膠工業,2026-06-19 06:24
2108,南帝,上市,橡膠工業,2026-06-19 06:24
2109,華豐,上市,橡膠工業,2026-06-19 06:24
2114,鑫永銓,上市,橡膠工業,2026-06-19 06:24
2115,六暉-KY,上市,汽車工業,2026-06-19 06:24
2201,裕隆,上市,汽車工業,2026-06-19 06:24
2204,中華,上市,汽車工業,2026-06-19 06:24
2206,三陽工業,上市,汽車工業,2026-06-19 06:24
2207,和泰車,上市,汽車工業,2026-06-19 06:24
2208,台船,上市,航運業,2026-06-19 06:24
2211,長榮鋼,上市,鋼鐵工業,2026-06-19 06:24
2221,大甲,上櫃,其他業,2026-06-19 06:24
2227,裕日車,上市,汽車工業,2026-06-19 06:24
